"Time (CET)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"08.01.2016 20:00 - 08.01.2016 20:30","49279","51693"
"08.01.2016 20:30 - 08.01.2016 21:00","47849","50303"
"08.01.2016 21:00 - 08.01.2016 21:30","46275","48943"
"08.01.2016 21:30 - 08.01.2016 22:00","44544","47128"
"08.01.2016 22:00 - 08.01.2016 22:30","42613","45204"
"08.01.2016 22:30 - 08.01.2016 23:00","40606","43027"
"08.01.2016 23:00 - 08.01.2016 23:30","39075","41329"
"08.01.2016 23:30 - 09.01.2016 00:00","37238","39928"
"09.01.2016 00:00 - 09.01.2016 00:30","35415","38227"
"09.01.2016 00:30 - 09.01.2016 01:00","34185","36988"
"09.01.2016 01:00 - 09.01.2016 01:30","33896","36012"
"09.01.2016 01:30 - 09.01.2016 02:00","33875","35952"
"09.01.2016 02:00 - 09.01.2016 02:30","33470","34849"
"09.01.2016 02:30 - 09.01.2016 03:00","32495","33590"
"09.01.2016 03:00 - 09.01.2016 03:30","31649","32463"
"09.01.2016 03:30 - 09.01.2016 04:00","31114","31545"
"09.01.2016 04:00 - 09.01.2016 04:30","30681","30775"
"09.01.2016 04:30 - 09.01.2016 05:00","30194","30112"
"09.01.2016 05:00 - 09.01.2016 05:30","29741","29707"
"09.01.2016 05:30 - 09.01.2016 06:00","29763","29435"
"09.01.2016 06:00 - 09.01.2016 06:30","29911","29515"
"09.01.2016 06:30 - 09.01.2016 07:00","30285","29881"
"09.01.2016 07:00 - 09.01.2016 07:30","31584","31376"
"09.01.2016 07:30 - 09.01.2016 08:00","33082","33785"
"09.01.2016 08:00 - 09.01.2016 08:30","34763","36014"
"09.01.2016 08:30 - 09.01.2016 09:00","36496","37318"
"09.01.2016 09:00 - 09.01.2016 09:30","38265","39419"
"09.01.2016 09:30 - 09.01.2016 10:00","40042","41204"
"09.01.2016 10:00 - 09.01.2016 10:30","41753","42885"
"09.01.2016 10:30 - 09.01.2016 11:00","42704","44077"
"09.01.2016 11:00 - 09.01.2016 11:30","43505","44740"
"09.01.2016 11:30 - 09.01.2016 12:00","43866","45171"
"09.01.2016 12:00 - 09.01.2016 12:30","44353","45366"
"09.01.2016 12:30 - 09.01.2016 13:00","44391","45515"
"09.01.2016 13:00 - 09.01.2016 13:30","44344","45590"
"09.01.2016 13:30 - 09.01.2016 14:00","44117","45578"
"09.01.2016 14:00 - 09.01.2016 14:30","43788","45251"
"09.01.2016 14:30 - 09.01.2016 15:00","43386","45155"
"09.01.2016 15:00 - 09.01.2016 15:30","43287","45065"
"09.01.2016 15:30 - 09.01.2016 16:00","42951","44791"
"09.01.2016 16:00 - 09.01.2016 16:30","43062","44859"
"09.01.2016 16:30 - 09.01.2016 17:00","43330","45409"
"09.01.2016 17:00 - 09.01.2016 17:30","45265","47328"
"09.01.2016 17:30 - 09.01.2016 18:00","47871","49349"
"09.01.2016 18:00 - 09.01.2016 18:30","49654","50344"
"09.01.2016 18:30 - 09.01.2016 19:00","49778","50272"
"09.01.2016 19:00 - 09.01.2016 19:30","49375","49656"
"09.01.2016 19:30 - 09.01.2016 20:00","48363","48523"
"09.01.2016 20:00 - 09.01.2016 20:30","46738","47040"
